window_begin_s,window_end_s,field,current_windows_value,step_aggregation_method,step_aggregate_value,native_source,native_value,current_vs_step_numeric_match,step_vs_native_numeric_match,step_vs_native_semantics,step_vs_native_semantic_status,step_vs_native_reconciliation_status,step_vs_native_explanation,current_vs_native_numeric_match,current_vs_interval_semantics,reconciliation_status,note
180,210,alinea_requested_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
180,210,alinea_applied_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
180,210,departed_veh,77,cumulative_sum_of_step_departures,77,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=11
180,210,arrived_veh,9,cumulative_sum_of_step_arrivals,9,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=7
180,210,teleports,0,cumulative_sum_of_step_starting_teleports,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=0
210,240,experiment_id,main1200_ramp120_none_seed0_9587c551,constant_scenario_identity,main1200_ramp120_none_seed0_9587c551,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no experiment id
210,240,controller,none,constant_controller,none,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no controller
210,240,seed,0,constant_seed,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no seed
210,240,time_s,240,30_step_rows_window_end,240,interval.end,240,YES,YES,SAME_INTERVAL_END,SAME,CONSISTENT,step block and native interval use the same end time,YES,SAME,CONSISTENT,aligned interval end
210,240,mainline_vph,1200,constant_demand,1200,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
210,240,ramp_vph,120,constant_demand,120,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
210,240,mean_speed_mps,0.0,vehicle_exposure_weighted_across_30s_and_5_loops,31.809411592068905,5_interval_speed_weighted_by_nVehContrib,31.80714285714286,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is unweighted mean of five last-step speeds at window end
210,240,upstream_speed_mps,-1.0,vehicle_exposure_weighted_across_30s,30.389116412270006,interval.speed,30.39,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is last-step snapshot at window end
210,240,bottleneck_flow_veh,1,sum_last_step_vehicle_number_30s,5,interval.nVehEntered,5,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator sums last-step vehicle observations; native comparison uses interval nVehEntered while nVehContrib may differ at interval boundaries,NO,DIFFERENT,INCONSISTENT,current is last-step snapshot; native nVehContrib=5
210,240,bottleneck_occupancy,0.16793975704757713,mean_last_step_occupancy_fraction_30s,0.026178908378038084,interval.occupancy/100,0.0262,NO,YES,DIFFERENT_EXPOSURE_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator averages 30 one-second occupancy samples; native occupancy is detector interval exposure and handles partial boundary occupancy in its native population,NO,DIFFERENT,INCONSISTENT,current is last-step snapshot; step/native are interval exposure
210,240,ramp_queue_veh,0,mean_lanearea_vehicle_count_30s,0.5333333333333333,interval.meanVehicleNumber,0.53,NO,YES,SAME_TIME_MEAN_WITH_NATIVE_ROUNDING,SAME,CONSISTENT,step arithmetic mean and native meanVehicleNumber target the same 30-second time mean; XML is rounded to two decimals,NO,DIFFERENT,INCONSISTENT,current is endpoint snapshot; step max=1
210,240,alinea_requested_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
210,240,alinea_applied_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
210,240,departed_veh,88,cumulative_sum_of_step_departures,88,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=11
210,240,arrived_veh,19,cumulative_sum_of_step_arrivals,19,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=10
210,240,teleports,0,cumulative_sum_of_step_starting_teleports,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=0
240,270,experiment_id,main1200_ramp120_none_seed0_9587c551,constant_scenario_identity,main1200_ramp120_none_seed0_9587c551,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no experiment id
240,270,controller,none,constant_controller,none,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no controller
240,270,seed,0,constant_seed,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no seed
240,270,time_s,270,30_step_rows_window_end,270,interval.end,270,YES,YES,SAME_INTERVAL_END,SAME,CONSISTENT,step block and native interval use the same end time,YES,SAME,CONSISTENT,aligned interval end
240,270,mainline_vph,1200,constant_demand,1200,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
240,270,ramp_vph,120,constant_demand,120,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
240,270,mean_speed_mps,29.434927746846373,vehicle_exposure_weighted_across_30s_and_5_loops,31.418881568861455,5_interval_speed_weighted_by_nVehContrib,31.51047619047619,NO,NO,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is unweighted mean of five last-step speeds at window end
240,270,upstream_speed_mps,29.434927746846373,vehicle_exposure_weighted_across_30s,29.519338311664967,interval.speed,29.54,NO,NO,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is last-step snapshot at window end
240,270,bottleneck_flow_veh,0,sum_last_step_vehicle_number_30s,3,interval.nVehEntered,3,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator sums last-step vehicle observations; native comparison uses interval nVehEntered while nVehContrib may differ at interval boundaries,NO,DIFFERENT,INCONSISTENT,current is last-step snapshot; native nVehContrib=3
240,270,bottleneck_occupancy,0.0,mean_last_step_occupancy_fraction_30s,0.019366721758501626,interval.occupancy/100,0.0194,NO,YES,DIFFERENT_EXPOSURE_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator averages 30 one-second occupancy samples; native occupancy is detector interval exposure and handles partial boundary occupancy in its native population,NO,DIFFERENT,INCONSISTENT,current is last-step snapshot; step/native are interval exposure
240,270,ramp_queue_veh,0,mean_lanearea_vehicle_count_30s,0.5,interval.meanVehicleNumber,0.5,NO,YES,SAME_TIME_MEAN_WITH_NATIVE_ROUNDING,SAME,CONSISTENT,step arithmetic mean and native meanVehicleNumber target the same 30-second time mean; XML is rounded to two decimals,NO,DIFFERENT,INCONSISTENT,current is endpoint snapshot; step max=1
240,270,alinea_requested_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
240,270,alinea_applied_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
240,270,departed_veh,99,cumulative_sum_of_step_departures,99,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=11
240,270,arrived_veh,30,cumulative_sum_of_step_arrivals,30,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=11
240,270,teleports,0,cumulative_sum_of_step_starting_teleports,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=0
270,300,experiment_id,main1200_ramp120_none_seed0_9587c551,constant_scenario_identity,main1200_ramp120_none_seed0_9587c551,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no experiment id
270,300,controller,none,constant_controller,none,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no controller
270,300,seed,0,constant_seed,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no seed
270,300,time_s,300,30_step_rows_window_end,300,interval.end,300,YES,YES,SAME_INTERVAL_END,SAME,CONSISTENT,step block and native interval use the same end time,YES,SAME,CONSISTENT,aligned interval end
270,300,mainline_vph,1200,constant_demand,1200,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
270,300,ramp_vph,120,constant_demand,120,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
270,300,mean_speed_mps,32.06178728734499,vehicle_exposure_weighted_across_30s_and_5_loops,31.633342534883575,5_interval_speed_weighted_by_nVehContrib,30.214761904761904,NO,NO,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is unweighted mean of five last-step speeds at window end
270,300,upstream_speed_mps,-1.0,vehicle_exposure_weighted_across_30s,31.02496486775115,interval.speed,30.65,NO,NO,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is last-step snapshot at window end
270,300,bottleneck_flow_veh,0,sum_last_step_vehicle_number_30s,4,interval.nVehEntered,4,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator sums last-step vehicle observations; native comparison uses interval nVehEntered while nVehContrib may differ at interval boundaries,NO,DIFFERENT,INCONSISTENT,current is last-step snapshot; native nVehContrib=4
270,300,bottleneck_occupancy,0.0,mean_last_step_occupancy_fraction_30s,0.022165637191915267,interval.occupancy/100,0.0222,NO,YES,DIFFERENT_EXPOSURE_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator averages 30 one-second occupancy samples; native occupancy is detector interval exposure and handles partial boundary occupancy in its native population,NO,DIFFERENT,INCONSISTENT,current is last-step snapshot; step/native are interval exposure
270,300,ramp_queue_veh,0,mean_lanearea_vehicle_count_30s,0.5,interval.meanVehicleNumber,0.5,NO,YES,SAME_TIME_MEAN_WITH_NATIVE_ROUNDING,SAME,CONSISTENT,step arithmetic mean and native meanVehicleNumber target the same 30-second time mean; XML is rounded to two decimals,NO,DIFFERENT,INCONSISTENT,current is endpoint snapshot; step max=1
270,300,alinea_requested_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
270,300,alinea_applied_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
270,300,departed_veh,110,cumulative_sum_of_step_departures,110,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=11
270,300,arrived_veh,38,cumulative_sum_of_step_arrivals,38,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=8
270,300,teleports,0,cumulative_sum_of_step_starting_teleports,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=0
300,330,experiment_id,main1200_ramp120_none_seed0_9587c551,constant_scenario_identity,main1200_ramp120_none_seed0_9587c551,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no experiment id
300,330,controller,none,constant_controller,none,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no controller
300,330,seed,0,constant_seed,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no seed
300,330,time_s,330,30_step_rows_window_end,330,interval.end,330,YES,YES,SAME_INTERVAL_END,SAME,CONSISTENT,step block and native interval use the same end time,YES,SAME,CONSISTENT,aligned interval end
300,330,mainline_vph,1200,constant_demand,1200,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
300,330,ramp_vph,120,constant_demand,120,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
300,330,mean_speed_mps,33.09660755307266,vehicle_exposure_weighted_across_30s_and_5_loops,32.00838355041443,5_interval_speed_weighted_by_nVehContrib,31.948,NO,NO,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is unweighted mean of five last-step speeds at window end
300,330,upstream_speed_mps,-1.0,vehicle_exposure_weighted_across_30s,31.670548737625786,interval.speed,31.67,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is last-step snapshot at window end
300,330,bottleneck_flow_veh,0,sum_last_step_vehicle_number_30s,5,interval.nVehEntered,4,NO,NO,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator sums last-step vehicle observations; native comparison uses interval nVehEntered while nVehContrib may differ at interval boundaries,NO,DIFFERENT,INCONSISTENT,current is last-step snapshot; native nVehContrib=4
300,330,bottleneck_occupancy,0.0,mean_last_step_occupancy_fraction_30s,0.02362557946052751,interval.occupancy/100,0.025099999999999997,NO,NO,DIFFERENT_EXPOSURE_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator averages 30 one-second occupancy samples; native occupancy is detector interval exposure and handles partial boundary occupancy in its native population,NO,DIFFERENT,INCONSISTENT,current is last-step snapshot; step/native are interval exposure
300,330,ramp_queue_veh,0,mean_lanearea_vehicle_count_30s,0.43333333333333335,interval.meanVehicleNumber,0.43,NO,YES,SAME_TIME_MEAN_WITH_NATIVE_ROUNDING,SAME,CONSISTENT,step arithmetic mean and native meanVehicleNumber target the same 30-second time mean; XML is rounded to two decimals,NO,DIFFERENT,INCONSISTENT,current is endpoint snapshot; step max=1
300,330,alinea_requested_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
300,330,alinea_applied_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
300,330,departed_veh,121,cumulative_sum_of_step_departures,121,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=11
300,330,arrived_veh,47,cumulative_sum_of_step_arrivals,47,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=9
300,330,teleports,0,cumulative_sum_of_step_starting_teleports,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=0
330,360,experiment_id,main1200_ramp120_none_seed0_9587c551,constant_scenario_identity,main1200_ramp120_none_seed0_9587c551,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no experiment id
330,360,controller,none,constant_controller,none,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no controller
330,360,seed,0,constant_seed,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no seed
330,360,time_s,360,30_step_rows_window_end,360,interval.end,360,YES,YES,SAME_INTERVAL_END,SAME,CONSISTENT,step block and native interval use the same end time,YES,SAME,CONSISTENT,aligned interval end
330,360,mainline_vph,1200,constant_demand,1200,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
330,360,ramp_vph,120,constant_demand,120,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
330,360,mean_speed_mps,33.06188579106556,vehicle_exposure_weighted_across_30s_and_5_loops,31.30218371426164,5_interval_speed_weighted_by_nVehContrib,31.356400000000004,NO,NO,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is unweighted mean of five last-step speeds at window end
330,360,upstream_speed_mps,-1.0,vehicle_exposure_weighted_across_30s,32.79418798099783,interval.speed,32.79,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is last-step snapshot at window end
330,360,bottleneck_flow_veh,0,sum_last_step_vehicle_number_30s,7,interval.nVehEntered,6,NO,NO,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator sums last-step vehicle observations; native comparison uses interval nVehEntered while nVehContrib may differ at interval boundaries,NO,DIFFERENT,INCONSISTENT,current is last-step snapshot; native nVehContrib=6
330,360,bottleneck_occupancy,0.0,mean_last_step_occupancy_fraction_30s,0.028832542305679,interval.occupancy/100,0.0319,NO,NO,DIFFERENT_EXPOSURE_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator averages 30 one-second occupancy samples; native occupancy is detector interval exposure and handles partial boundary occupancy in its native population,NO,DIFFERENT,INCONSISTENT,current is last-step snapshot; step/native are interval exposure
330,360,ramp_queue_veh,0,mean_lanearea_vehicle_count_30s,0.5,interval.meanVehicleNumber,0.5,NO,YES,SAME_TIME_MEAN_WITH_NATIVE_ROUNDING,SAME,CONSISTENT,step arithmetic mean and native meanVehicleNumber target the same 30-second time mean; XML is rounded to two decimals,NO,DIFFERENT,INCONSISTENT,current is endpoint snapshot; step max=1
330,360,alinea_requested_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
330,360,alinea_applied_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
330,360,departed_veh,132,cumulative_sum_of_step_departures,132,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=11
330,360,arrived_veh,59,cumulative_sum_of_step_arrivals,59,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=12
330,360,teleports,0,cumulative_sum_of_step_starting_teleports,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=0
